metdiv,Year,inc_1,inc_2,inc_3,inc_4
29460,1990,28600,54600,85800,364000
29500,1990,15600,39000,70200,364000
29540,1990,39000,70200,101400,364000
29620,1990,33800,65000,109200,364000
29660,1990,23400,44200,80600,364000
29700,1990,15600,39000,70200,364000
29740,1990,23400,44200,75400,364000
29780,1990,15600,33800,65000,364000
29820,1990,33800,65000,101400,364000
29860,1990,15600,39000,70200,364000
29900,1990,23400,44200,80600,364000
29940,1990,23400,54600,91000,364000
29980,1990,23400,44200,70200,364000
30020,1990,28600,49400,80600,364000
30060,1990,23400,39000,65000,364000
30140,1990,33800,59800,91000,364000
30220,1990,23400,49400,85800,364000
30260,1990,33800,54600,85800,364000
30280,1990,23400,49400,80600,364000
30300,1990,23400,49400,80600,364000
30340,1990,28600,54600,85800,364000
30380,1990,23400,49400,75400,364000
30420,1990,23400,44200,75400,364000
30460,1990,28600,59800,96200,364000
30580,1990,33800,54600,80600,364000
30620,1990,28600,54600,91000,364000
30660,1990,28600,54600,85800,364000
30700,1990,33800,59800,91000,364000
30780,1990,28600,54600,91000,364000
30820,1990,23400,44200,70200,364000
30860,1990,28600,54600,85800,364000
30880,1990,15600,33800,65000,364000
30900,1990,28600,54600,85800,364000
30940,1990,15600,33800,59800,364000
30980,1990,23400,49400,85800,364000
31020,1990,28600,59800,91000,364000
31060,1990,70200,109200,140400,364000
31084,1990,39000,70200,119600,364000
31140,1990,28600,54600,91000,364000
31180,1990,23400,49400,85800,364000
31220,1990,23400,44200,75400,364000
31260,1990,23400,49400,80600,364000
31300,1990,15600,39000,70200,364000
31340,1990,28600,54600,91000,364000
31380,1990,15600,44200,75400,364000
31420,1990,23400,54600,96200,364000
31460,1990,28600,54600,91000,364000
31500,1990,28600,49400,85800,364000
31540,1990,39000,65000,101400,364000
31580,1990,23400,44200,80600,364000
31620,1990,15600,39000,70200,364000
31660,1990,23400,44200,75400,364000
31680,1990,15600,39000,65000,364000
31700,1990,49400,85800,119600,364000
31740,1990,23400,44200,80600,364000
31820,1990,33800,54600,85800,364000
31860,1990,28600,54600,85800,364000
31900,1990,28600,54600,91000,364000
31930,1990,23400,49400,85800,364000
31940,1990,23400,44200,75400,364000
31980,1990,28600,54600,91000,364000
32000,1990,23400,44200,75400,364000
32020,1990,28600,54600,85800,364000
32100,1990,28600,54600,85800,364000
32140,1990,23400,49400,80600,364000
32180,1990,23400,44200,70200,364000
32220,1990,23400,44200,80600,364000
32260,1990,33800,59800,91000,364000
32280,1990,23400,44200,75400,364000
32300,1990,28600,49400,80600,364000
32340,1990,15600,39000,70200,364000
32380,1990,28600,49400,80600,364000
32420,1990,NA,NA,NA,NA
32460,1990,15600,44200,75400,364000
32500,1990,15600,44200,70200,364000
32540,1990,15600,39000,65000,364000
32580,1990,15600,33800,65000,364000
32620,1990,15600,33800,59800,364000
32660,1990,23400,44200,70200,364000
32700,1990,28600,54600,85800,364000
32740,1990,23400,49400,75400,364000
32780,1990,28600,54600,80600,364000
32820,1990,23400,54600,91000,364000
32860,1990,23400,49400,80600,364000
32900,1990,28600,54600,85800,364000
32940,1990,15600,39000,75400,364000
32980,1990,28600,49400,80600,364000
33020,1990,23400,49400,75400,364000
33060,1990,15600,33800,59800,364000
33124,1990,28600,54600,96200,364000
33140,1990,33800,59800,91000,364000
33180,1990,15600,28600,54600,364000
33220,1990,33800,70200,119600,364000
33260,1990,33800,65000,109200,364000
33300,1990,23400,49400,80600,364000
33340,1990,33800,65000,109200,364000
33420,1990,23400,44200,70200,364000
33460,1990,44200,75400,109200,364000
33500,1990,23400,44200,75400,364000
33540,1990,23400,49400,80600,364000
33580,1990,23400,44200,70200,364000
33620,1990,23400,44200,70200,364000
33660,1990,23400,49400,80600,364000
33700,1990,33800,59800,96200,364000
33740,1990,15600,44200,80600,364000
33780,1990,39000,75400,109200,364000
33860,1990,28600,54600,91000,364000
33874,1990,54600,91000,140400,364000
33940,1990,23400,44200,75400,364000
33980,1990,28600,54600,85800,364000
34020,1990,15600,44200,75400,364000
34060,1990,23400,44200,75400,364000
34100,1990,23400,49400,75400,364000
34140,1990,23400,44200,80600,364000
34180,1990,23400,44200,75400,364000
34220,1990,15600,44200,75400,364000
34260,1990,23400,39000,59800,364000
34300,1990,28600,49400,75400,364000
34340,1990,23400,49400,75400,364000
34380,1990,23400,49400,85800,364000
34420,1990,23400,44200,85800,364000
34460,1990,15600,39000,65000,364000
34500,1990,23400,44200,80600,364000
34540,1990,28600,49400,80600,364000
34580,1990,33800,59800,91000,364000
34620,1990,23400,49400,85800,364000
34660,1990,15600,39000,70200,364000
34700,1990,33800,59800,91000,364000
34740,1990,28600,54600,85800,364000
34780,1990,15600,44200,75400,364000
34820,1990,28600,49400,80600,364000
34860,1990,15600,39000,70200,364000
34900,1990,44200,75400,119600,364000
34940,1990,44200,70200,119600,364000
34980,1990,33800,59800,96200,364000
35004,1990,65000,109200,182000,364000
35020,1990,15600,33800,70200,364000
35060,1990,15600,33800,65000,364000
35084,1990,49400,91000,140400,364000
35100,1990,28600,49400,80600,364000
35140,1990,23400,49400,75400,364000
35220,1990,28600,54600,85800,364000
35260,1990,23400,44200,75400,364000
35300,1990,44200,80600,119600,364000
35380,1990,23400,49400,85800,364000
35420,1990,28600,49400,80600,364000
35440,1990,23400,49400,75400,364000
35460,1990,15600,33800,59800,364000
35500,1990,33800,59800,91000,364000
35580,1990,28600,49400,80600,364000
35614,1990,33800,70200,119600,364000
35660,1990,28600,54600,91000,364000
35700,1990,23400,44200,75400,364000
35740,1990,28600,49400,75400,364000
35820,1990,23400,54600,85800,364000
35840,1990,33800,59800,91000,364000
35860,1990,28600,49400,80600,364000
35900,1990,23400,44200,75400,364000
